image,id,label,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/3/6aad7e7f-ebe53d50-d7f5-11ea-87af-28716b82d033.jpeg,101,"[{""x"": 25.481313703284258, ""y"": 19.565217391304348, ""width"": 47.90486976217441, ""height"": 74.09420289855072, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 640, ""original_height"": 400}]",1,103,2022-11-27T21:49:07.740666Z,2022-11-27T21:55:10.909145Z,58.96
/data/upload/3/dc99e117-61ilDgVVwS._UL1500_.jpg,100,"[{""x"": 1.2681159420289856, ""y"": 16.485507246376812, ""width"": 98.73188405797102, ""height"": 67.7536231884058, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 1500, ""original_height"": 1500}]",1,99,2022-11-27T21:37:29.721248Z,2022-11-27T21:37:29.721248Z,6.629
/data/upload/3/416282a0-masks-for-fall-007-masks-png.webp,99,"[{""x"": 2.378255945639864, ""y"": 15.49295774647887, ""width"": 46.09286523216309, ""height"": 73.03822937625755, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 1280, ""original_height"": 720}, {""x"": 55.03963759909399, ""y"": 27.96780684104628, ""width"": 33.52208380520951, ""height"": 42.6559356136821, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 1280, ""original_height"": 720}]",1,98,2022-11-27T21:37:21.045720Z,2022-11-27T21:37:21.045720Z,10.675
/data/upload/3/7375604d-81EmBn23f8L._SX450_.jpg,98,"[{""x"": 4.893964110929853, ""y"": 18.65942028985507, ""width"": 52.20228384991842, ""height"": 69.02173913043478, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 450, ""original_height"": 405}, {""x"": 55.62805872756933, ""y"": 50.72463768115942, ""width"": 41.435562805872756, ""height"": 42.210144927536234, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 450, ""original_height"": 405}]",1,97,2022-11-27T21:37:07.960513Z,2022-11-27T21:37:07.960513Z,10.41
/data/upload/3/6a54d79e-RothysFaceMasksLede.webp,97,"[{""x"": 15.544041450777202, ""y"": 25.724637681159415, ""width"": 69.43005181347152, ""height"": 41.66666666666667, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 770, ""original_height"": 1100}]",1,96,2022-11-27T21:36:54.932114Z,2022-11-27T21:36:54.932114Z,5.892
/data/upload/3/e8fc883e-goods_69_451737.webp,96,"[{""x"": 9.057971014492754, ""y"": 18.115942028985508, ""width"": 87.31884057971014, ""height"": 62.68115942028985, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 1600, ""original_height"": 1600}]",1,95,2022-11-27T21:36:47.163153Z,2022-11-27T21:36:47.163153Z,7.129
/data/upload/3/59d12e6c-facemask01-grey-bind_1024x10242x.webp,95,"[{""x"": 25.724637681159415, ""y"": 32.789855072463766, ""width"": 51.63043478260868, ""height"": 43.47826086956522, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 1080, ""original_height"": 1080}]",1,94,2022-11-27T21:36:37.874608Z,2022-11-27T21:36:37.874608Z,7.981
/data/upload/3/6c746b1c-surgical_mask_still_life-1296x728-header2.webp,94,"[{""x"": 14.058956916099774, ""y"": 4.242424242424243, ""width"": 78.34467120181407, ""height"": 80, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 1155, ""original_height"": 648}]",1,93,2022-11-27T21:36:25.604680Z,2022-11-27T21:36:25.604680Z,9.041
/data/upload/3/d0c44842-12829122159_a.jpg,93,"[{""x"": 12.5, ""y"": 28.26086956521739, ""width"": 71.13095238095238, ""height"": 33.8768115942029, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 730, ""original_height"": 1200}]",1,92,2022-11-27T21:36:13.751820Z,2022-11-27T21:36:13.751820Z,5.019
/data/upload/3/daee97a3-01_tL_wfmBeigeOxford_55eeb4b9-3b9f-48e1-96e2-42b021a442d1_600x.webp,92,"[{""x"": 16.304347826086957, ""y"": 37.13768115942029, ""width"": 61.05072463768116, ""height"": 54.34782608695651, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 600, ""original_height"": 600}]",1,91,2022-11-27T21:36:02.972073Z,2022-11-27T21:36:02.972073Z,5.297
/data/upload/3/e885c55f-1920x1080_Banner_2.jpg,91,"[{""x"": 14.130434782608695, ""y"": 27.173913043478255, ""width"": 32.971014492753625, ""height"": 34.23913043478261, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 1440, ""original_height"": 960}]",1,90,2022-11-27T21:35:55.292224Z,2022-11-27T21:35:55.296258Z,5.534
/data/upload/3/8bba5944-GettyImages-1218241666.jpg,90,"[{""x"": 11.83574879227053, ""y"": 26.08695652173913, ""width"": 85.26570048309179, ""height"": 52.17391304347826, ""rotation"": 0, ""rectanglelabels"": [""Mask""], ""original_width"": 1140, ""original_height"": 760}]",1,89,2022-11-27T21:35:45.576062Z,2022-11-27T21:35:45.576062Z,4.518
